"Category","Fields of Research"
"08 Information and Computing Sciences",104488
"09 Engineering",28988
"11 Medical and Health Sciences",27360
"17 Psychology and Cognitive Sciences",12115
"01 Mathematical Sciences",9487
"02 Physical Sciences",9075
"06 Biological Sciences",8272
"03 Chemical Sciences",8045
"10 Technology",6741
"16 Studies in Human Society",4747
"13 Education",4617
"04 Earth Sciences",3827
"20 Language, Communication and Culture",3741
"22 Philosophy and Religious Studies",3207
"15 Commerce, Management, Tourism and Services",2622
"21 History and Archaeology",2062
"05 Environmental Sciences",1654
"14 Economics",1644
"18 Law and Legal Studies",1480
"07 Agricultural and Veterinary Sciences",1347
"12 Built Environment and Design",1119
"19 Studies in Creative Arts and Writing",382
